sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
109	UTEP	UTEP	Miners	utep	UTEP	UTEP	7	20	El Paso, TX				380474	FF7722	BDBDBD						0	0	0	70	0	0000-00-00 00:00:00	1
110	Vanderbilt	Vanderbilt	Commodores	vanderbilt	Vanderbilt	Vanderbilt	6	17	Nashville, TN				000000	BDAE79							0	0	0	70	0	0000-00-00 00:00:00	1
111	Virginia	Virginia	Cavaliers	virginia	Virginia	Virginia	1	14	Charlottesville, VA				000080	FF7F00	'						0	0	0	70	0	0000-00-00 00:00:00	1
112	Virginia Tech	Virginia Tech	Hokies	virginiatech	Virginia Tech	Virginia Tech	1	14	Blacksburg, VA				660000	FF6600	'						0	0	0	70	0	0000-00-00 00:00:00	1
113	Wake Forest	Wake Forest	Demon Deacons	wakeforest	Wake Forest	Wake Forest	1	13	Winston-Salem, NC				9E7E38	000000							0	0	0	70	0	0000-00-00 00:00:00	1
114	Washington	Washington	Huskies	washington	Washington	Washington	5	0	Seattle, WA				4B0082	E0CE96							0	0	0	70	0	0000-00-00 00:00:00	1
115	Washington State	Washington State	Cougars	washingtonstate	Washington State	Washington State	5	0	Pullman, WA				A30013	A9A9A9							0	0	0	70	0	0000-00-00 00:00:00	1
116	West Virginia	West Virginia	Mountaineers	westvirginia	West Virginia	West Virginia	2	0	Morgantown, WV				00008B	CFB53B							0	0	0	70	0	0000-00-00 00:00:00	1
117	Western Michigan	Western Michigan	Broncos	westernmichigan	Western Michigan	Western Michigan	8	22	Kalamazoo, MI				663300	cc9933	000000						0	0	0	70	0	0000-00-00 00:00:00	1
118	Wisconsin	Wisconsin	Badgers	wisconsin	Wisconsin	Wisconsin	3	0	Madison, WI				C41E3A	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
119	Wyoming	Wyoming	Cowboys	wyoming	Wyoming	Wyoming	9	0	Laramie, WY				654321	CFB53B							0	0	0	70	0	0000-00-00 00:00:00	1
120	Alabama A&M	Alabama A&M	Bulldogs	alabamaam	Alabama A&M	Alabama A&M	37	42	Huntsville, AL				B03060	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
121	Alabama State	Alabama State	Hornets	alabamastate	Alabama State	Alabama State	37	42	Montgomery, AL				000000	CFB53B							0	0	0	70	0	0000-00-00 00:00:00	1
